lon,lat,psi,u,v,r,id
-73.9507,40.5284,-0.523599,3,0.000251144,2.98155e-08,5421
-73.9514,40.5279,-1.0472,3,0.00538199,3.23534e-08,5420
-73.9493,40.5306,-2.35751e-07,3,-0.00538154,-1.91909e-07,5419
-73.9496,40.5298,-0.523599,3,0.000251168,4.18416e-08,5418
-73.9554,40.5519,2.0944,3,-0.000251138,-2.72414e-08,5412
-73.9433,40.5345,-0.523599,3,0.000251341,1.29068e-07,5394
-73.9687,40.5413,2.0944,3,-0.00538201,-2.14101e-07,5380
-73.9634,40.5467,2.0944,3,-0.00538204,-2.32388e-07,5365
-73.9294,40.5629,1.0472,3,-0.00538199,-2.0381e-07,5362
-73.9407,40.5335,-0.523599,3,0.00538199,2.03483e-07,5349
-73.9411,40.5373,-0.523599,3,0.000251696,3.01935e-07,5347
-73.9401,40.5387,-0.523599,3,0.000251314,1.15642e-07,5342
-73.9432,40.5383,-0.523599,3,0.000251226,6.96928e-08,5333
-73.956,40.5254,-0.523599,3,1.26044e-05,1.55005e-07,5321
-73.9631,40.5213,-0.523599,3,1.30738e-05,3.84823e-07,5315
-73.9638,40.5208,-1.0472,3,0.00538169,5.9493e-08,5314
-73.9353,40.542,0.523599,3,-1.30711e-05,-3.83446e-07,5309
-73.9683,40.5397,2.61799,3,-0.00538171,-6.56247e-08,5304
-73.9676,40.5403,2.0944,3,-1.2527e-05,-1.17162e-07,5303
-73.9264,40.5667,1.5708,3,-0.0053817,-6.25453e-08,6023
-73.9324,40.5607,0.523599,3,8.35298e-07,1.04539e-07,5300
-73.9595,40.5224,-1.0472,3,0.00538199,3.24048e-08,5297
-73.9311,40.5423,-0.523599,3,0.00538203,5.42702e-08,5723
-73.9564,40.5238,-0.523599,3,0.00538206,2.38304e-07,5275
-73.9438,40.5318,1.01993e-07,3,2.43794e-07,1.0289e-07,5721
-73.9441,40.5543,2.0944,3,-0.00538207,-2.46687e-07,5274
-73.945,40.5536,1.5708,3,-9.64208e-08,-4.40382e-08,5264
-73.9342,40.5599,0.523599,3,1.32069e-05,4.49691e-07,5249
-73.9581,40.5509,1.5708,3,-0.00538124,-4.53675e-08,5239
-73.9396,40.559,1.5708,3,-0.00538198,-2.01718e-07,5216
-73.9387,40.5588,1.0472,3,7.328e-07,6.01487e-08,5215
-73.9379,40.5583,0.523599,3,0.00538177,9.76043e-08,5214
-73.9342,40.5434,0.523599,3,0.000251233,8.42077e-08,5213
-73.9608,40.5454,1.5708,3,0.00025141,1.69497e-07,5210
-73.9294,40.5436,0.523598,3,1.6966e-07,7.92471e-08,5207
